,area_name,emoji,lat,lng,label
0,Downtown Dubai,🏙️,25.2,55.3,🏙️ Downtown Dubai
1,Jumeirah Beach,🌊,25.205,55.26,🌊 Jumeirah Beach
2,Business Bay,🏢,25.185,55.31,🏢 Business Bay
3,City Walk,🛍️,25.21,55.27,🛍️ City Walk
4,Al Safa,🕌,25.175,55.255,🕌 Al Safa
5,Sheikh Zayed Road,🌆,25.22,55.29,🌆 Sheikh Zayed Road
6,DIFC,🏨,25.215,55.285,🏨 DIFC
7,Zabeel Park,🌳,25.23,55.32,🌳 Zabeel Park
8,Al Wasl,🏫,25.19,55.34,🏫 Al Wasl
9,Oud Metha,🏪,25.24,55.315,🏪 Oud Metha
10,Al Jafiliya,🚇,25.245,55.295,🚇 Al Jafiliya
11,Al Mankhool,🏘️,25.165,55.305,🏘️ Al Mankhool
12,Al Bada,🌴,25.155,55.33,🌴 Al Bada
13,Satwa,🏬,25.175,55.275,🏬 Satwa
